price,city,country
16.98,Vientiane,Laos
18.67,Luang Prabang,Laos
19.98,Yangon,Myanmar
21.08,Pokhara,Nepal
21.39,Hanoi,Vietnam
21.92,Kathmandu,Nepal
22.10,Chiang Mai,Thailand
22.12,Delhi,India
22.37,Hoi An,Vietnam
22.94,Zanzibar City,Tanzania
22.99,Colombo,Sri Lanka
23.12,Saigon (Ho Chi Minh City),Vietnam
24.17,Jakarta,Indonesia
24.99,Quito,Ecuador
25.89,Manila,Philippines
26.24,Bangkok,Thailand
26.41,La Paz,Bolivia
27.26,Phnom Penh,Cambodia
27.50,Goa,India
27.58,Kuta,Indonesia
27.60,Budapest,Hungary
27.85,Cartagena,Colombia
28.25,Siem Reap,Cambodia
28.30,Granada (Nicaragua),Nicaragua
29.27,Kiev,Ukraine
29.48,Lima,Peru
29.65,Mumbai,India
30.08,Istanbul,Turkey
30.54,Buenos Aires,Argentina
31.17,Cusco,Peru
31.21,Cairo,Egypt
31.35,Arusha,Tanzania
31.49,Bucharest,Romania
31.52,Fez,Morocco
31.99,Sofia,Bulgaria
32.65,Krakow,Poland
33.18,Marrakech,Morocco
33.64,Phuket,Thailand
34.07,Xian,China
34.29,Belgrade,Serbia
34.30,Dakar,Senegal
34.64,Boracay Island,Philippines
34.68,Beirut,Lebanon
36.51,Cape Town,South Africa
37.29,Warsaw,Poland
38.59,Bratislava,Slovakia
38.67,San Jose,Costa Rica
39.33,Sarajevo,Bosnia and Herz.
39.59,Santiago,Chile
39.62,Kuala Lumpur,Malaysia
40.81,Zagreb,Croatia
40.84,Mexico City,Mexico
41.76,Rio de Janeiro,Brazil
42.04,Taipei,Taiwan
42.21,Riga,Latvia
42.75,Cesky Krumlov,Czechia
42.87,Macau,Macao
44.25,Antigua,Guatemala
44.66,Vilnius,Lithuania
44.89,Santa Ana,El Salvador
45.12,Split,Croatia
47.00,Panama City,Panama
47.40,Nairobi,Kenya
47.47,Seoul,South Korea
47.89,Beijing,China
48.10,Montevideo,Uruguay
49.72,Amman,Jordan
51.60,Shanghai,China
54.22,Valletta,Malta
55.74,Tallinn,Estonia
55.79,Santorini,Greece
55.98,Ljubljana,Slovenia
56.63,Saint Petersburg,Russia
57.00,Prague,Czechia
57.01,Tenerife,Spain
58.81,Tokyo,Japan
58.88,Lisbon,Portugal
59.24,Naples,Italy
60.91,San Pedro (Ambergris Caye),Belize
61.70,Cairns,Australia
62.42,Athens,Greece
63.74,Roatán Island,Honduras
65.14,Hong Kong,Hong Kong
65.27,Singapore,Singapore
66.60,Auckland,New Zealand
67.27,Berlin,Germany
68.53,Nice,France
69.89,Munich,Germany
70.72,Madrid,Spain
72.63,Dubrovnik,Croatia
73.31,Moscow,Russia
73.56,Bruges,Belgium
74.84,Barcelona,Spain
74.88,Milan,Italy
75.25,Rome,Italy
75.81,Luxembourg City,Luxembourg
76.73,Sydney,Australia
78.10,Brisbane,Australia
78.43,Salzburg,Austria
79.41,Florence,Italy
79.79,Helsinki,Finland
80.02,Montreal,Canada
80.13,Vienna,Austria
80.76,Edinburgh,United Kingdom
80.84,Brussels,Belgium
81.57,Melbourne,Australia
81.60,Ibiza,Spain
84.37,Abu Dhabi,United Arab Emirates
84.58,Hamburg,Germany
86.15,Queenstown,New Zealand
89.59,Paris,France
90.80,Stockholm,Sweden
92.75,Dubai,United Arab Emirates
93.31,Dublin,Ireland
94.70,New Orleans,United States of America
95.36,Copenhagen,Denmark
95.76,Venice,Italy
95.97,Toronto,Canada
96.06,London,United Kingdom
97.90,Miami Beach,United States of America
98.62,Amsterdam,Netherlands
99.48,Reykjavik,Iceland
101.44,Tel Aviv,Israel
101.49,Vancouver,Canada
104.10,Bergen,Norway
105.12,Oslo,Norway
106.60,Washington D.C.,United States of America
107.76,Interlaken,Switzerland
110.25,Los Angeles,United States of America
115.58,Las Vegas,United States of America
118.11,San Francisco,United States of America
119.37,Honolulu,United States of America
120.36,Chicago,United States of America
129.50,New York City,United States of America
132.22,Zurich,Switzerland
149.80,Boston,United States of America
